indicatorId,geoUnit,year,value,qualifier,magnitude
ODAFLOW.VOLUMESCHOLARSHIP,MHL,2023,118273,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2006,1110317,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2007,935381,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2008,1246120,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2009,1240126,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2010,1542985,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2011,1605364,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2012,1843911,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2013,3784666,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2014,2297731,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2015,2107318,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2016,1786813,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2017,2358685,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2018,2966879,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2019,5046834,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2020,3175243,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2021,3382223,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2022,2520559,,
ODAFLOW.VOLUMESCHOLARSHIP,MKD,2023,2998024,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2006,991364,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2007,1349060,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2008,3371911,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2009,4099747,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2010,3315287,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2011,2188621,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2012,2831057,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2013,4443715,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2014,4106743,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2015,3953314,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2016,3002828,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2017,3911032,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2018,4877719,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2019,7456849,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2020,7819079,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2021,6743665,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2022,6855479,,
ODAFLOW.VOLUMESCHOLARSHIP,MLI,2023,8402135,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2006,2551705,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2007,2248234,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2008,3413891,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2009,6408056,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2010,6943832,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2011,9314452,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2012,7320806,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2013,8983290,,
